;Movie name;Rating;IMDb name;genre;IMDb rating count;IMDb rating;metascore;year;Action;Adventure;Animation;Biography;Comedy;Crime;Drama;Family;Fantasy;History;Horror;Music;Musical;Mystery;PG;R;Romance;Sport;Thriller;War;Western
118;Jupiter ascending ;5.8;Jupiter Ascending ;Action,Adventure;162437;5.3;40.0;2015.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;Terminator genesis ;5.4;Terminator Genisys ;Action,Adventure;227144;6.4;38.0;2015.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;The age of adeline ;5.0;The Age of Adaline ;Drama,Fantasy,Romance;132492;7.2;51.0;2015.0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
121;Insurgent ;4.1;Insurgent ;Action,Adventure,Thriller;192694;6.2;42.0;2015.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
122;Lucy ;3.9;Lucy ;Action,Thriller;389512;6.4;61.0;2014.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
123;Man of tai chi ;3.7;Man of Tai Chi ;Action,Drama;32028;6.1;52.0;2013.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;Bahubali ;3.5;Bahubali: The Beginning ;Action,Drama,Fantasy;89650;8.2;;2015.0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
125;The post;7.2;The Post ;Biography,Drama,History,Thriller;94432;7.2;83.0;2017.0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
126;Get out ;7.4;Get Out ;Horror,Mystery,Thriller;345713;7.7;84.0;2017.0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
127;Tomb raider (2018);7.2;Tomb Raider ;Action,Adventure,Fantasy,Thriller;138856;6.4;48.0;2018.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
